油管-百家讲坛_2,#genre#
如果古建筑会说话（第二季）1 天坛之奇 天坛里丹陛桥下的拱洞门 为什么被叫做“鬼门关”？20211212,https://www.youtube.com/watch?v=PR3oUMKzkII
如果古建筑会说话（第一季） EP16 学海无涯——国子监作为明清时期培养人才的最高学府 有着怎样严苛的学规？20210301 | CCTV频道,https://www.youtube.com/watch?v=-LYcANVLpHg
如果古建筑会说话（第一季）EP15 文脉传承 中国古建筑——国子监背后蕴含的文化内涵  20210228 | CCTV频道,https://www.youtube.com/watch?v=k97In_hKetI
如果古建筑会说话（第一季）EP14 泱泱大学 历史上的人文荟萃之地——国子监有着哪些别具匠心的设计？20210227 | CCTV频道,https://www.youtube.com/watch?v=tq_eK8bVlr8
如果古建筑会说话（第一季）EP13 太庙风云——古老的太庙在诉说着哪些帝王风云的传奇故事？20210226 | CCTV频道,https://www.youtube.com/watch?v=AFDQ3bMkdfw
如果古建筑会说话（第一季） EP12 家国千秋——紫禁城内意蕴深厚的太庙建筑 如何在营建和布局上体现古人对先辈的尊崇与敬仰？20210225 | CCTV频道,https://www.youtube.com/watch?v=fa6HhbMLi3Y
如果古建筑会说话（第一季） EP11 诗意空间——蕴含深厚文化底蕴的恭王府背后包含着怎样的中国传统文化？20210210 | CCTV频道,https://www.youtube.com/watch?v=eEPscwnBnbc
如果古建筑会说话（第一季）EP10 别出心裁——王宅府邸都有着哪些独特的设计？20210209 | CCTV频道,https://www.youtube.com/watch?v=Nq5-YWDMr3A
如果古建筑会说话（第一季）EP9 王府兴衰——历经百年风雨的恭王府见证了哪些盛衰荣辱的清代历史故事？20210208 | CCTV频道,https://www.youtube.com/watch?v=62w3QFMMky4
如果古建筑会说话（第一季）EP8 宫中另类——古香古色的宫城却出现风格迥异的“另类”建筑 这些建筑又是因何建造而成的？20210207 | CCTV频道,https://www.youtube.com/watch?v=JhEeegRpJBQ
如果古建筑会说话（第一季）EP7 龙凤祥瑞——作为君王龙御天下的居所  故宫建筑在龙凤使用上有哪些独到之处？20210206 | CCTV频道,https://www.youtube.com/watch?v=DesDaG3BYIg
如果古建筑会说话（第一季）EP6 宫廷典藏——故宫是当之无愧的艺术宝库 精品收藏之丰富让人赞叹不已！ 20210205 | CCTV频道,https://www.youtube.com/watch?v=RB44EZTGY2k
如果古建筑会说话（第一季）EP5 后宫养心——庭院深深的后宫隐藏怎样的生活之美 清代皇帝为何如此钟情后宫？20210204 | CCTV频道,https://www.youtube.com/watch?v=BsFceSaJSZI
如果古建筑会说话（第一季）EP4 国朝典礼——见证时代更迭的紫禁城 发生过哪些重大历史典礼？20210203 | CCTV频道,https://www.youtube.com/watch?v=r1YHN09N9zY
如果古建筑会说话（第一季）EP3 皇朝祭祀 ——大国以礼权力之征！清代皇朝祭祀方式究竟有多隆重？20210202 | CCTV频道,https://www.youtube.com/watch?v=61DM-W0jZNE
如果古建筑会说话（第一季）EP2 殿宇威仪——帝王殿宇彰显王权威严！遍布故宫角落的五脊六兽又代表怎样的皇家气质？20210201 | CCTV频道,https://www.youtube.com/watch?v=ZsC1F0Ah9KM
如果古建筑会说话（第一季）EP1 紫禁之城——感受六百年紫禁城之美 膜拜先辈匠人之心！20210131 | CCTV频道,https://www.youtube.com/watch?v=3D-hd44ko9E
翰墨风雅苏东坡 EP1 黄州寒食——寒食帖为什么被评为“天下第三行书” 这幅传世巨作经历了怎样的不朽传奇？20210123 | CCTV频道,https://www.youtube.com/watch?v=cFYc5wE1pl0
翰墨风雅苏东坡 EP2 梅花知己——苏轼为何钟情于梅花？其中寄托了大文豪怎样的生活态度？20210124 | CCTV频道,https://www.youtube.com/watch?v=BDbDEZU3jls
翰墨风雅苏东坡 EP3 天下治平——世间墨宝治平帖究竟抒发了苏轼怎样的为官心境？20210125 | CCTV频道,https://www.youtube.com/watch?v=eYY9EQrMmTE
翰墨风雅苏东坡 EP4 新岁展庆——新岁展庆帖不仅具有书法价值 它的背后还承载了一段难忘的友情故事！20210126 | CCTV频道,https://www.youtube.com/watch?v=rveuanlKoS8
翰墨风雅苏东坡 EP5 潇湘竹石——苏轼传世之作潇湘竹石图价值连城 为何却一度被怀疑为赝品？20210127 | CCTV频道,https://www.youtube.com/watch?v=jM_OVWOEPKk
