战争片,#genre#
来自收容所的爱,https://v8.qdhdcate.com/yyv8/202309/26/Fvf9ES8GTx1/video/index.m3u8
代号55,https://v8.qdhdcate.com/yyv8/202309/22/9dci7kSkRr1/video/index.m3u8
秋蝉,https://v8.qdhdcate.com/yyv8/202311/24/cMwVZZYWvz1/video/index.m3u8
马来亚三日,https://v8.qdhdcate.com/yyv8/202311/01/pk3Lr9Sye51/video/index.m3u8
和平2019,https://v8.qdhdcate.com/yyv8/202309/22/4VggJedPb81/video/index.m3u8
地狱尖兵,https://v8.qdhdcate.com/yyv8/202309/22/tXrDWQ0ezT1/video/index.m3u8
锅盖头4：回归法制,https://v8.qdhdcate.com/yyv8/202309/22/eEsUUEE7M31/video/index.m3u8
果尔达,https://v8.qdhdcate.com/yyv8/202309/22/Pv1J6sKWQw1/video/index.m3u8
艾拉,https://v8.qdhdcate.com/yyv8/202309/22/rUwhuHznFM1/video/index.m3u8
一代枭雄曹操,https://v1.qdhdcate.com/yyv1/202308/20/Gtq8UGLHqY2/video/index.m3u8
捍战,https://v8.qdhdcate.com/yyv8/202309/22/i0aTL7dpTz1/video/index.m3u8
红男爵,https://v8.qdhdcate.com/yyv8/202309/22/UQFXMy7zeY1/video/index.m3u8
俘虏与逃兵,https://v8.qdhdcate.com/yyv8/202309/22/eMkYZPYTbq1/video/index.m3u8
第六巴士,https://v8.qdhdcate.com/yyv8/202309/18/wSik4eUgbr1/video/index.m3u8
神探坤潘3,https://v8.qdhdcate.com/yyv8/202309/20/p8kwWVj5uX1/video/index.m3u8
七七事变,https://v1.qdhdcate.com/yyv1/202308/20/tjG7527zf02/video/index.m3u8
一个人的冬天,https://v1.qdhdcate.com/yyv1/202308/20/HELTU6kviQ2/video/index.m3u8
1941之春,https://v1.qdhdcate.com/yyv1/202308/20/0zEztEZSKf2/video/index.m3u8
400发子弹,https://v1.qdhdcate.com/yyv1/202308/20/7B3zwvagRL2/video/index.m3u8
1812：枪骑兵之歌,https://v1.qdhdcate.com/yyv1/202308/20/PwPbLw9nGn2/video/index.m3u8
中国兵王·绝密任务,https://v1.qdhdcate.com/yyv1/202308/20/x2pxGT5Eeg2/video/index.m3u8
1917(原声版),https://v1.qdhdcate.com/yyv1/202308/20/gfbWNsdghR2/video/index.m3u8
内战圣伯纳犬,https://v1.qdhdcate.com/yyv1/202308/20/pu1BsQVn8y2/video/index.m3u8
MH370：消失的航班,https://v1.qdhdcate.com/yyv1/202308/20/wLYRwr4suX2/video/index.m3u8
七天七夜,https://v1.qdhdcate.com/yyv1/202308/20/dCd97uzXf02/video/index.m3u8
兵临城下·虎贲,https://v1.qdhdcate.com/yyv1/202308/20/hGRutcny3T2/video/index.m3u8
佣兵之战,https://v1.qdhdcate.com/yyv1/202308/20/sxFJQS5DBS2/video/index.m3u8
八百彪兵奔北坡,https://v1.qdhdcate.com/yyv1/202308/20/4jfGsRwU9D2/video/index.m3u8
亮剑之英雄虎胆,https://v1.qdhdcate.com/yyv1/202308/20/4ct0ZM6P162/video/index.m3u8
三国志：关公(上集),https://v1.qdhdcate.com/yyv1/202308/20/YLrVvjVmfu2/video/index.m3u8
中国营长,https://v1.qdhdcate.com/yyv1/202308/20/WY36tTLyZd2/video/index.m3u8
侦察员的功勋,https://v1.qdhdcate.com/yyv1/202308/20/VnhaAaZNsj2/video/index.m3u8
伟大的转折1945,https://v1.qdhdcate.com/yyv1/202308/20/sXNSr4QAwJ2/video/index.m3u8
中国兵王,https://v1.qdhdcate.com/yyv1/202308/20/Sz67ysf2Sn2/video/index.m3u8
关原之战,https://v1.qdhdcate.com/yyv1/202308/20/4igrdBx0h42/video/index.m3u8
上尉战役,https://v1.qdhdcate.com/yyv1/202308/20/4w2ma8AKuR2/video/index.m3u8
亚历山大大帝,https://v1.qdhdcate.com/yyv1/202308/20/p2eTv1YSWV2/video/index.m3u8
伯德街小岛,https://v1.qdhdcate.com/yyv1/202308/20/r7HaW9jdvp2/video/index.m3u8
上甘岭,https://v1.qdhdcate.com/yyv1/202308/20/uJBMqZ2dT22/video/index.m3u8
不朽的走廊,https://v1.qdhdcate.com/yyv1/202308/20/rAH1Bysz5F2/video/index.m3u8
二百三高地,https://v1.qdhdcate.com/yyv1/202308/20/hnsz9AzPGP2/video/index.m3u8
从海底出击,https://v1.qdhdcate.com/yyv1/202308/20/62JHRKUmWD2/video/index.m3u8
冰雪狙击,https://v1.qdhdcate.com/yyv1/202308/20/qEdYixuxP42/video/index.m3u8
奇袭400高地,https://v1.qdhdcate.com/yyv1/202308/20/YSbR7G3VcZ2/video/index.m3u8
不速来客,https://v1.qdhdcate.com/yyv1/202308/20/jcNnxMNBPu2/video/index.m3u8
切·格瓦拉传下部游击队,https://v1.qdhdcate.com/yyv1/202308/20/6zaggRyvQD2/video/index.m3u8
乌鲁米,https://v1.qdhdcate.com/yyv1/202308/20/qXFrMxSB6q2/video/index.m3u8
军火贩,https://v1.qdhdcate.com/yyv1/202308/20/hUePmgxPs22/video/index.m3u8
勇闯禁地,https://v1.qdhdcate.com/yyv1/202308/20/RWVKfGiSed2/video/index.m3u8
冲破黎明前的黑暗,https://v1.qdhdcate.com/yyv1/202308/20/qRTj7sMvhk2/video/index.m3u8
喀秋莎行动,https://v1.qdhdcate.com/yyv1/202308/20/5ZTeZyjT0Q2/video/index.m3u8
冲出战俘营,https://v1.qdhdcate.com/yyv1/202308/20/stvkA46Uca2/video/index.m3u8
威灵顿之线,https://v1.qdhdcate.com/yyv1/202308/20/msqtrbZ0eK2/video/index.m3u8
华沙之战1920,https://v1.qdhdcate.com/yyv1/202308/20/U55LanqqRB2/video/index.m3u8
地道战高清版,https://v1.qdhdcate.com/yyv1/202308/20/K84uKUyr6c2/video/index.m3u8
夺命黄金,https://v1.qdhdcate.com/yyv1/202308/20/1BauWYPpHZ2/video/index.m3u8
